epoch,losses,val_losses
0,1.0793290928786086,1.1031081094857185
1,1.0471996672385928,1.097150867710465
2,1.0387684933603114,1.092630444652474
3,1.0336334667668512,1.0900661270327283
4,1.0302527858157464,1.0903588110400784
5,1.0278074204121104,1.092987200768862
6,1.0259086827731563,1.0863637317160857
7,1.0243532690269188,1.0872511129637468
8,1.0230697970966764,1.08124793434198
9,1.021954693345352,1.0850606317619025
10,1.0209613504054758,1.0837883685591034
11,1.0201864492194748,1.0807626888773958
12,1.019553666246771,1.0846793821879797
13,1.0189480702528637,1.084027993926255
14,1.0183362990286462,1.0808558218902158
15,1.0178675869994829,1.0817621536381234
16,1.0173945211257136,1.083350919633417
17,1.016873621013,1.081421568783747
18,1.0164810152531996,1.0819381873041802
19,1.0160913890630572,1.0810162290450065
20,1.0156763506576163,1.0803753624451324
21,1.0152974834233426,1.079553200901928
22,1.0150491304768077,1.0818581668325284
23,1.0147636361685877,1.0780655521950964
24,1.01449116693845,1.0771554193463744
25,1.0142773618199528,1.0799896709517949
26,1.014070027097611,1.0784298107371353
27,1.0138479126319668,1.0765308885393055
28,1.0136059113485276,1.077729789754762
29,1.013422111937049,1.0747772709977241
30,1.013203563673345,1.077577026414981
31,1.01305636328064,1.07615543531108
32,1.0129045841179274,1.0781020513190651
33,1.0126939525257497,1.0788093418706948
34,1.0126834700454326,1.0746753314673076
35,1.0124059662864737,1.076922252224887
36,1.0122900872994707,1.0755350972924913
37,1.0122169046462162,1.0751964242502292
38,1.0119771139041425,1.0777342047559502
39,1.011840418657532,1.077873697890664
40,1.0119788819176005,1.0771754038636037
41,1.0118914873111906,1.0755189966221559
42,1.011573578332408,1.073507522039699
43,1.0114782997693879,1.072954493733595
44,1.0118343002780161,1.0701393737770994
45,1.0117364398179203,1.072681097803028
46,1.0114894028047325,1.074589888415029
47,1.0113698313803847,1.0722419815953426
48,1.0112505594631653,1.0713400825652108
49,1.0111376152319067,1.0729037594685358
