epoch,train_losses,val_losses
0,134.28167724609375,151.83067321777344
1,176.65171813964844,127.25834655761719
2,126.42250061035156,124.08665466308594
3,123.24720764160156,120.87339782714844
4,120.02351379394531,117.70597076416016
5,116.80677795410156,114.6824951171875
6,113.8380126953125,111.7794418334961
7,110.87548065185547,109.00340270996094
8,108.08650207519531,106.29718780517578
9,105.3768539428711,103.65837860107422
10,102.73921966552734,101.15628051757812
11,100.25472259521484,98.7546615600586
12,97.81819152832031,96.47765350341797
13,95.54267120361328,94.27249145507812
14,93.33476257324219,92.19819641113281
15,91.264892578125,90.24201202392578
16,89.29434967041016,88.3622055053711
17,87.4073715209961,86.62061309814453
18,85.68013000488281,84.97938537597656
19,84.0210189819336,83.44377899169922
20,82.47834014892578,82.03999328613281
21,81.08287811279297,80.72257232666016
22,79.75797271728516,79.51717376708984
23,78.53752136230469,78.43850708007812
24,77.46380615234375,77.40239715576172
25,76.42811584472656,76.34993743896484
26,75.35890197753906,75.28987121582031
27,74.29861450195312,74.2055892944336
28,73.22321319580078,73.12999725341797
29,72.1275634765625,72.05876922607422
30,71.05157470703125,71.00101470947266
31,69.99689483642578,69.99391174316406
32,68.98463439941406,68.9997787475586
33,68.01355743408203,68.0540771484375
34,67.04086303710938,67.13309478759766
35,66.1099624633789,66.28691864013672
36,65.26908111572266,65.50677490234375
37,64.48395538330078,64.74095916748047
38,63.71687698364258,64.04566192626953
39,63.00104904174805,63.374385833740234
40,62.325469970703125,62.70648193359375
41,61.669464111328125,62.065277099609375
42,61.01056671142578,61.406898498535156
43,60.35964584350586,60.7866096496582
44,59.717979431152344,60.15281677246094
45,59.08332061767578,59.5555534362793
46,58.476097106933594,58.95728302001953
47,57.87508773803711,58.373565673828125
48,57.28764343261719,57.81574630737305
49,56.7242431640625,57.281253814697266
epoch,train_losses,val_losses
0,133.1331024169922,127.45660400390625
1,127.62904357910156,124.12112426757812
2,125.60758209228516,118.63035583496094
3,118.7826156616211,114.87226867675781
4,115.0965347290039,111.17263793945312
5,111.3965835571289,107.57276153564453
6,107.77003479003906,104.09539794921875
7,104.25345611572266,100.74713897705078
8,100.86111450195312,97.56732177734375
9,97.65547180175781,94.54450225830078
10,94.6374740600586,91.60071563720703
11,91.68403625488281,88.76277160644531
12,88.84232330322266,86.08528137207031
13,86.17708587646484,83.54785919189453
14,83.64967346191406,81.14231872558594
15,81.24195098876953,78.87481689453125
16,78.96237182617188,76.72349548339844
17,76.79744720458984,74.72826385498047
18,74.7934341430664,72.85175323486328
19,72.91342163085938,71.0986099243164
20,71.16088104248047,69.4881591796875
21,69.55522155761719,67.99369812011719
22,68.0659408569336,66.65386962890625
23,66.72653198242188,65.4437026977539
24,65.51151275634766,64.28801727294922
25,64.34842681884766,63.10480499267578
26,63.15964889526367,61.87841796875
27,61.931304931640625,60.62329864501953
28,60.67802810668945,59.36878967285156
29,59.42692184448242,58.12821578979492
30,58.18696594238281,56.89785385131836
31,56.952606201171875,55.71180725097656
32,55.76054382324219,54.5623664855957
33,54.60816192626953,53.44947814941406
34,53.49709701538086,52.40062713623047
35,52.44974136352539,51.43342971801758
36,51.4807014465332,50.529571533203125
37,50.572914123535156,49.68973922729492
38,49.73154067993164,48.910099029541016
39,48.95357131958008,48.1497688293457
40,48.193572998046875,47.40031433105469
41,47.44227981567383,46.65768814086914
42,46.697566986083984,45.92357635498047
43,45.96320724487305,45.20664596557617
44,45.24790954589844,44.50241470336914
45,44.543212890625,43.82844924926758
46,43.86701965332031,43.159793853759766
47,43.197757720947266,42.50575256347656
48,42.5445671081543,41.87845230102539
49,41.91790771484375,41.28544616699219
