epoch,losses,val_losses
0,0.8154952913522721,0.43664897680282594
1,0.41156657338142394,0.3428274542093277
2,0.18714532405138015,0.13018838092684745
3,0.10096243843436241,0.06777573823928833
4,0.0671834796667099,0.056997067853808404
5,0.04570065550506115,0.04175596497952938
6,0.03878749720752239,0.03661190047860145
7,0.03545033056288958,0.03387951254844666
8,0.03308483399450779,0.03191481810063124
9,0.03136370163410902,0.030121254734694958
